;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,80;2,50;5,00;;0,50;6,70;0,00;4,00;0,00;2,50;;
;2;0,00;;0,00;0,00;0,80;0,00;33,20;;0,00;5,00;31,00;0,00;1,80;3,00;;
;3;0,00;;0,00;4,00;7,60;0,00;0,00;;1,50;4,00;1,50;0,60;2,00;0,40;;
;4;0,00;;5,50;0,00;0,00;0,00;0,00;;0,00;1,20;4,30;0,00;0,00;22,00;;
;5;0,00;;0,00;0,00;0,00;0,00;33,50;;0,00;0,00;0,00;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,60;0,00;11,50;;2,00;7,00;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;13,00;0,00;1,60;;0,00;0,00;0,00;0,00;5,80;0,00;;
;8;0,00;;0,00;0,00;2,00;0,00;1,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;1,80;0,00;0,00;;0,00;0,00;1,00;0,00;1,20;10,50;;
;10;0,00;;0,20;0,00;1,00;0,00;0,00;;0,00;0,00;0,00;0,00;4,00;63,50;;
;11;0,00;;0,00;0,00;0,00;0,70;0,00;;6,60;3,50;0,00;0,00;0,00;33,50;;
;12;0,00;;0,00;0,00;0,00;0,00;0,00;;12,30;17,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;0,60;0,00;;0,70;0,00;0,00;0,00;1,30;0,00;;
;14;0,00;;0,00;24,20;0,00;0,00;13,00;;0,00;0,00;0,00;0,00;0,50;2,30;;
;15;0,00;;0,00;0,00;0,00;0,00;1,50;;1,00;25,00;0,00;0,00;0,00;8,00;;
;16;0,00;;0,00;0,00;0,00;0,50;0,00;;0,20;16,00;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;2,80;1,80;0,00;;11,20;8,00;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,20;0,00;0,00;3,00;;0,50;1,00;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,60;0,40;;0,30;0,30;0,00;0,00;0,00;0,00;;
;20;7,00;;0,00;1,80;3,50;0,00;0,00;;0,00;0,00;2,60;0,00;0,00;0,00;;
;21;0,00;;8,40;0,80;0,00;0,30;0,00;;3,00;12,50;9,00;0,00;0,00;0,00;;
;22;0,00;;11,00;0,00;0,00;0,00;0,00;;4,20;23,50;0,00;5,00;0,30;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;12,50;28,30;0,00;0,50;4,00;0,00;;
;24;0,00;;0,00;17,00;0,00;0,00;5,50;;0,00;5,50;0,00;29,50;1,00;0,00;;
;25;0,00;;0,00;0,00;0,00;0,00;6,50;;26,00;10,50;0,00;9,50;0,00;1,00;;
;26;0,00;;0,00;0,00;0,00;12,00;12,00;;24,40;0,00;0,00;0,50;0,00;0,00;;
;27;10,50;;0,00;22,00;0,10;17,00;32,50;;20,20;0,00;0,00;2,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;0,80;85,00;;24,50;3,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;0,00;0,00;19,50;13,50;;8,30;0,00;0,00;0,00;0,00;2,00;;
;30;0,00;;;0,20;0,00;0,00;4,00;;14,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;0,00;;;22,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
