;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;2,00;0,00;0,00;1,50;5,30;;2,40;14,30;0,00;;;;;
;2;0,00;;0,00;0,00;0,00;3,10;0,00;;12,00;0,00;0,10;;;;;
;3;0,00;;20,50;0,00;1,30;2,30;0,10;;3,60;4,90;2,80;;;;;
;4;0,00;;0,20;0,00;0,00;3,80;0,00;;4,00;9,80;0,20;;;;;
;5;0,20;;0,00;0,00;0,00;0,00;0,00;;0,20;1,20;0,00;;;;;
;6;0,00;;0,00;1,00;0,00;0,00;7,90;;0,10;0,00;0,00;;;;;
;7;10,80;;0,00;0,00;0,00;0,00;4,20;;21,20;0,00;3,70;;;;;
;8;8,20;;0,00;0,00;0,00;7,00;5,00;;22,50;0,10;11,80;;;;;
;9;0,00;;0,00;0,00;0,00;15,30;0,00;;58,00;4,70;7,30;;;;;
;10;0,00;;0,00;1,00;1,40;5,70;7,20;;0,20;1,30;6,70;;;;;
;11;0,00;;1,30;0,00;0,00;0,00;22,30;;15,60;0,00;1,90;;;;;
;12;0,00;;0,00;1,50;0,00;0,00;3,00;;5,10;1,10;4,10;;;;;
;13;0,00;;0,00;0,70;0,00;0,00;0,00;;0,10;15,30;0,00;;;;;
;14;0,20;;0,70;0,00;0,00;0,20;0,00;;0,00;7,10;0,00;;;;;
;15;0,00;;0,30;0,00;1,30;0,70;9,00;;0,00;1,40;10,50;;;;;
;16;0,00;;9,00;0,00;0,10;2,00;4,90;;8,70;1,10;0,00;;;;;
;17;0,00;;0,00;0,00;8,70;0,00;16,80;;2,80;1,70;1,00;;;;;
;18;0,00;;0,00;0,00;0,50;38,10;18,10;;9,40;5,50;1,00;;;;;
;19;0,00;;0,00;0,00;0,00;2,20;1,50;;0,60;0,00;0,00;;;;;
;20;0,00;;0,00;0,00;0,00;0,00;10,70;;9,40;0,00;0,00;;;;;
;21;0,00;;0,00;0,00;0,00;0,00;1,30;;4,90;0,00;0,00;;;;;
;22;0,00;;0,00;0,00;0,00;0,00;3,90;;0,00;0,00;0,00;;;;;
;23;0,00;;0,00;5,10;0,90;1,80;3,10;;0,00;0,90;0,00;;;;;
;24;0,00;;0,00;0,00;5,60;5,20;0,00;;1,00;1,40;0,00;;;;;
;25;0,00;;0,00;0,00;0,50;0,10;3,50;;37,10;0,20;0,00;;;;;
;26;0,00;;0,00;0,00;5,00;0,70;0,90;;2,90;1,00;0,00;;;;;
;27;0,80;;0,00;0,00;1,90;0,00;14,10;;0,00;4,40;0,00;;;;;
;28;0,50;;0,00;0,40;0,40;0,00;8,00;;0,10;3,40;0,00;;;;;
;29;0,00;;0,00;0,00;0,00;0,00;11,20;;0,10;0,10;2,90;;;;;
;30;0,00;;;0,00;0,00;0,00;7,50;;4,50;0,00;0,50;;;;;
;31;0,00;;;0,00;;0,00;;;0,00;0,00;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
