;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;7,00;;0,00;0,10;2,40;7,10;7,40;;6,60;2,10;0,00;0,20;0,00;2,60;;
;2;4,00;;0,00;1,70;0,00;0,00;3,40;;5,00;3,30;0,00;0,00;3,00;4,10;;
;3;0,00;;0,00;11,10;0,80;0,00;28,70;;1,50;0,20;0,10;0,00;11,20;0,00;;
;4;0,00;;0,00;8,20;0,00;4,00;44,00;;0,20;4,20;0,00;0,20;3,60;0,00;;
;5;1,60;;0,00;54,40;11,80;0,00;9,60;;0,10;7,10;0,00;6,90;8,90;0,00;;
;6;2,00;;1,00;19,00;3,80;0,00;6,70;;0,00;2,10;0,00;8,00;4,90;0,00;;
;7;27,90;;0,40;0,00;3,10;0,10;14,40;;0,70;0,00;3,10;5,10;0,00;0,00;;
;8;10,90;;0,60;0,00;2,10;0,00;37,40;;7,60;0,10;0,70;0,50;0,00;0,00;;
;9;0,00;;2,60;0,00;0,30;0,00;7,50;;1,60;9,40;0,50;3,10;0,80;0,20;;
;10;0,10;;0,20;0,00;0,00;2,00;0,40;;2,40;8,30;0,10;4,00;0,00;12,60;;
;11;4,90;;0,00;0,00;1,20;14,40;0,00;;2,10;1,40;5,10;0,00;0,00;2,20;;
;12;0,00;;0,00;0,00;36,90;11,00;0,00;;7,40;0,00;1,10;0,00;0,80;2,20;;
;13;0,00;;0,00;6,10;19,30;0,00;2,00;;13,90;0,10;3,00;0,00;0,00;3,30;;
;14;0,10;;0,00;0,00;0,30;2,40;0,10;;2,80;0,00;13,10;;13,90;5,00;;
;15;2,70;;0,00;0,10;6,50;0,20;0,00;;29,80;3,80;0,90;;4,70;2,70;;
;16;0,00;;0,00;1,50;21,10;16,20;0,10;;6,60;0,00;3,20;;34,20;0,00;;
;17;0,00;;11,40;8,90;0,00;19,60;0,00;;16,10;0,00;10,10;;4,20;16,90;;
;18;0,00;;0,00;1,50;0,00;9,90;0,60;;25,80;0,00;7,20;0,00;2,30;8,20;;
;19;0,00;;8,20;0,00;0,00;0,50;0,20;;12,20;0,00;1,80;0,00;28,90;0,00;;
;20;1,80;;1,90;0,40;0,00;0,00;7,80;;3,30;4,20;5,00;3,30;3,00;0,00;;
;21;5,20;;0,00;0,00;0,00;0,00;22,50;;0,40;12,10;0,00;0,10;0,80;0,00;;
;22;1,00;;2,10;8,60;0,00;0,10;19,80;;1,20;0,10;0,50;0,00;0,00;30,90;;
;23;0,00;;1,00;0,00;0,00;0,00;9,60;;0,10;7,80;1,20;0,00;1,40;11,30;;
;24;15,50;;0,70;0,00;0,00;4,20;2,00;;0,00;19,10;0,20;0,40;5,60;6,30;;
;25;4,80;;0,00;0,00;0,10;0,90;21,80;;5,70;9,80;0,00;6,20;22,90;0,60;;
;26;0,00;;0,00;0,10;11,70;11,10;16,10;;0,20;3,00;0,00;18,00;9,90;7,40;;
;27;0,40;;0,00;0,00;5,30;1,40;0,00;;0,10;29,70;0,00;4,50;10,90;2,20;;
;28;1,60;;2,00;0,00;11,50;0,10;0,00;;8,50;6,70;12,30;12,60;22,20;0,00;;
;29;4,00;;;3,40;1,10;3,30;0,20;;10,00;4,40;10,10;7,40;3,70;0,00;;
;30;1,40;;;0,00;;7,40;11,30;;18,60;4,60;2,80;4,00;0,10;0,00;;
;31;0,20;;;0,00;;3,50;;;13,50;0,10;;5,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
