;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,70;0,40;;0,00;3,50;0,00;21,00;4,50;0,00;;
;2;0,00;;0,00;0,00;0,00;0,00;21,00;;0,00;10,50;44,00;0,00;0,00;8,50;;
;3;0,00;;0,00;16,60;0,40;1,00;1,80;;0,00;6,50;5,50;0,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;1,20;0,00;0,00;19,10;;
;5;0,00;;0,00;0,00;0,00;0,00;14,20;;0,00;0,00;0,00;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,00;0,00;53,00;;0,00;21,00;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;8,00;0,00;8,40;;0,00;0,00;0,00;0,00;6,00;0,00;;
;8;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;2,40;;
;10;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;1,40;0,00;6,00;58,00;;
;11;0,00;;0,00;0,00;0,00;7,50;0,00;;1,00;3,00;0,00;0,00;0,00;14,50;;
;12;0,00;;0,00;0,00;0,00;29,00;0,00;;20,00;3,00;0,00;0,00;0,00;5,00;;
;13;0,00;;0,00;0,00;0,00;1,80;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;4,50;0,00;0,00;5,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;36,40;0,00;0,00;0,00;47,50;;
;16;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;10,00;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;0,00;0,00;0,00;;6,20;6,00;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;1,00;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;6,80;0,00;0,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;8,50;;0,00;0,00;2,50;0,00;0,00;0,00;;
;21;0,00;;4,00;3,00;0,00;0,00;16,40;;0,00;10,00;3,60;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;7,40;35,50;2,40;1,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;8,50;22,50;0,00;6,30;0,00;0,00;;
;24;0,00;;0,00;0,00;0,00;0,00;25,00;;0,00;13,50;0,00;18,50;0,00;0,00;;
;25;0,00;;0,00;0,00;0,00;0,00;55,00;;50,00;25,50;0,00;1,50;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;0,00;41,20;;30,40;0,00;0,00;0,00;0,00;0,00;;
;27;13,50;;0,00;1,00;0,00;17,00;59,00;;16,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;9,50;0,00;4,50;83,00;;32,40;8,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;0,00;0,00;19,00;10,00;;12,50;0,00;1,20;0,00;0,00;0,00;;
;30;0,00;;;7,80;0,00;15,50;7,50;;9,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;0,00;;;8,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
