;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;15,80;13,10;;6,50;0,00;0,00;7,90;11,30;0,00;;
;2;0,00;;0,00;0,00;0,00;17,40;0,00;;3,50;0,00;0,00;0,40;0,00;0,00;;
;3;0,00;;0,00;0,00;3,40;34,50;0,20;;2,40;0,00;0,00;1,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;0,00;22,80;;0,00;0,00;1,50;0,00;0,60;0,00;;
;5;0,00;;0,00;0,00;0,00;0,00;5,00;;0,00;12,70;1,60;0,00;0,00;0,00;;
;6;0,00;;0,00;23,70;0,00;0,00;0,90;;1,40;4,60;14,20;7,10;0,00;0,00;;
;7;6,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;8;51,80;;0,00;0,00;0,00;0,00;0,00;;6,40;0,00;12,30;0,00;0,00;0,00;;
;9;8,60;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,30;0,00;0,00;0,00;;
;10;0,00;;6,20;0,00;0,00;0,00;0,00;;13,90;12,90;0,00;0,00;0,00;1,60;;
;11;0,00;;0,20;0,00;0,00;0,00;5,80;;13,60;5,30;0,00;1,90;0,00;0,00;;
;12;0,00;;0,00;0,00;4,30;0,00;29,50;;5,50;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;0,00;11,50;;4,10;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;5,80;6,80;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;6,40;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;0,00;16,50;0,00;;19,80;21,80;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;0,00;23,20;0,00;;0,00;2,30;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;3,20;0,00;0,00;0,90;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;2,80;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;0,00;;43,30;0,00;0,00;2,70;0,00;0,00;;
;21;0,00;;1,40;0,00;0,00;0,00;0,00;;14,60;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,80;;0,00;0,00;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;9,60;;0,00;0,00;0,00;0,00;1,90;12,50;;
;24;0,00;;0,00;0,00;1,60;0,00;12,90;;0,00;0,00;0,00;0,00;0,00;0,80;;
;25;0,00;;0,00;0,00;0,00;4,40;27,50;;0,00;22,80;0,00;8,50;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;23,90;70,50;;0,00;10,10;0,50;0,00;0,00;0,00;;
;27;0,00;;0,00;0,00;0,00;0,00;93,50;;3,20;0,60;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;8,60;50,50;;13,30;7,40;0,00;14,30;12,10;0,00;;
;29;0,00;;;0,00;0,00;17,90;9,80;;17,50;0,00;2,40;9,20;0,00;0,00;;
;30;0,00;;;0,00;0,00;17,70;0,00;;1,30;0,00;4,40;0,00;0,00;0,00;;
;31;0,00;;;0,00;;22,20;;;7,40;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
