;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;1,00;3,30;13,10;;0,00;2,50;24,00;1,00;0,00;7,50;;
;2;0,00;;0,00;0,50;4,00;0,00;23,30;;2,00;2,20;29,80;2,40;3,80;1,80;;
;3;0,00;;0,00;31,50;12,00;0,00;0,00;;1,50;7,80;3,50;14,70;11,30;8,40;;
;4;0,00;;0,00;15,30;6,00;0,00;8,50;;0,00;49,80;12,80;0,00;0,30;1,60;;
;5;0,00;;1,00;2,00;0,50;0,50;11,00;;0,00;30,00;2,80;0,00;5,10;1,60;;
;6;3,50;;10,50;0,00;2,00;0,50;2,00;;0,00;11,20;2,50;0,00;11,10;4,80;;
;7;2,00;;0,00;0,00;49,50;0,30;7,50;;0,00;0,00;0,50;0,00;5,50;10,40;;
;8;0,00;;0,00;0,00;4,50;9,00;2,00;;1,00;0,00;2,20;0,00;0,30;12,00;;
;9;0,00;;0,00;0,00;3,50;0,00;0,00;;0,00;0,00;8,00;0,00;4,60;24,40;;
;10;0,00;;0,00;0,00;7,00;0,00;0,50;;3,50;0,00;2,50;1,50;3,10;5,40;;
;11;0,00;;3,50;2,30;4,00;2,50;0,00;;3,60;12,20;0,30;0,00;0,00;16,80;;
;12;0,00;;0,00;1,50;6,50;5,00;0,00;;14,50;17,40;0,00;0,00;0,00;0,40;;
;13;0,50;;0,00;9,20;3,80;1,00;0,00;;3,30;18,30;0,70;0,00;2,20;0,20;;
;14;1,50;;0,00;13,50;7,00;4,20;10,50;;1,60;16,30;0,40;0,00;6,60;4,00;;
;15;0,00;;5,20;2,00;9,50;0,00;4,50;;11,80;5,10;0,00;0,00;0,00;2,80;;
;16;10,50;;9,50;0,00;8,30;5,50;3,20;;0,00;5,20;0,00;0,00;0,00;3,10;;
;17;0,50;;9,20;0,00;14,00;2,30;20,00;;7,80;13,50;1,80;0,00;3,20;1,20;;
;18;8,20;;0,00;0,00;0,00;0,00;3,00;;0,00;3,40;0,00;0,00;0,00;0,00;;
;19;4,00;;0,00;0,00;10,50;2,50;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;20;17,00;;0,00;2,50;1,50;3,00;4,50;;16,80;0,00;0,00;0,00;0,00;12,20;;
;21;12,50;;23,50;6,00;0,00;0,00;0,50;;9,60;3,20;0,20;0,00;2,50;26,80;;
;22;2,50;;8,50;0,00;0,00;2,00;0,00;;10,40;15,60;0,20;6,10;12,20;0,00;;
;23;3,00;;4,00;6,20;0,00;0,00;0,00;;2,80;3,60;0,00;3,20;1,20;3,20;;
;24;0,00;;0,00;14,00;0,00;0,00;1,50;;1,00;8,00;0,00;25,80;1,60;5,00;;
;25;0,00;;7,10;4,30;3,20;0,00;0,40;;13,20;18,10;0,00;4,20;0,00;2,60;;
;26;0,00;;0,00;0,00;2,00;7,50;3,50;;19,60;8,50;0,00;2,50;0,00;0,00;;
;27;39,00;;0,00;23,00;1,50;2,50;15,00;;21,30;14,20;0,00;13,30;0,00;0,00;;
;28;1,50;;0,00;2,00;1,00;0,00;7,00;;22,60;22,00;2,50;8,10;0,00;0,00;;
;29;4,50;;;0,00;3,70;14,50;12,50;;6,30;0,50;2,00;0,00;0,00;1,80;;
;30;4,30;;;0,50;3,50;0,00;2,00;;26,50;0,50;20,20;0,00;15,60;0,00;;
;31;0,00;;;3,50;;0,00;;;5,00;2,60;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
