;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;1,00;1,00;110,00;33,50;;32,00;3,50;0,00;1,50;5,00;0,00;;
;2;0,00;;0,00;0,00;0,00;9,50;1,00;;15,00;0,00;0,00;0,00;0,00;0,00;;
;3;0,00;;0,00;3,00;25,00;34,00;2,50;;5,00;0,00;0,00;6,50;13,00;0,00;;
;4;0,00;;0,00;0,00;0,00;7,00;23,00;;0,00;0,00;0,00;0,00;0,00;1,40;;
;5;0,00;;0,00;0,00;0,00;0,00;19,00;;0,00;21,00;0,00;15,00;0,00;1,10;;
;6;0,00;;0,00;63,00;0,00;0,00;5,00;;0,00;1,00;6,50;14,00;0,00;0,00;;
;7;16,50;;0,00;0,00;0,00;0,00;16,50;;0,00;0,00;7,00;0,00;0,00;2,20;;
;8;10,00;;0,00;0,00;0,00;0,00;8,00;;0,00;0,00;16,00;0,00;0,00;1,80;;
;9;0,00;;0,00;0,00;2,50;0,00;19,50;;0,00;0,00;1,00;0,00;0,00;0,00;;
;10;0,00;;8,50;0,00;0,00;0,00;0,00;;11,00;42,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;7,00;1,50;;9,00;18,00;0,00;0,00;0,00;0,00;;
;12;0,00;;0,00;0,00;8,50;11,00;49,50;;14,00;0,00;0,00;1,50;0,00;0,00;;
;13;0,00;;0,00;0,00;16,00;0,00;3,00;;22,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;0,00;0,00;;3,50;0,00;30,00;0,00;6,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;9,00;7,00;0,00;15,50;0,00;;
;16;0,00;;0,00;0,00;2,00;17,00;0,00;;22,50;16,50;0,00;0,00;3,00;0,00;;
;17;0,00;;0,00;3,00;1,00;8,00;15,50;;22,50;19,00;0,00;0,00;0,00;1,10;;
;18;0,00;;5,00;4,00;0,00;9,00;3,00;;8,00;0,00;15,00;0,00;0,00;17,50;;
;19;0,00;;0,00;0,00;0,00;2,50;0,00;;58,00;6,00;6,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;7,00;;54,00;0,00;1,00;9,00;0,00;0,00;;
;21;0,00;;2,50;1,50;0,00;0,00;3,00;;11,00;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;1,00;0,00;0,00;30,00;;0,00;1,50;0,00;0,00;3,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;27,50;;0,00;0,00;0,00;0,00;12,50;9,00;;
;24;0,00;;0,00;0,00;0,00;0,00;5,00;;0,00;24,00;0,00;5,00;12,00;1,00;;
;25;0,00;;0,00;0,00;0,00;0,00;74,00;;2,50;2,00;0,00;15,50;13,00;0,00;;
;26;0,00;;0,00;0,00;0,00;2,00;22,00;;0,00;25,00;0,00;5,50;3,50;0,00;;
;27;0,00;;0,00;0,00;25,00;15,00;10,00;;1,00;24,00;0,00;7,00;0,00;14,00;;
;28;0,00;;0,00;0,00;1,00;3,50;0,00;;27,50;0,00;3,00;39,00;8,50;0,00;;
;29;0,00;;;0,00;0,00;22,50;9,00;;38,50;0,00;16,50;17,00;5,00;0,00;;
;30;0,00;;;0,00;12,00;17,50;0,00;;52,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;27,00;;;0,00;0,00;;6,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
