;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;1,00;;0,00;0,00;2,00;0,00;1,00;;0,00;0,00;0,00;0,00;0,00;1,20;;
;2;1,00;;0,00;0,00;1,00;0,00;3,00;;1,00;0,00;0,00;0,00;2,20;10,10;;
;3;0,00;;0,00;1,00;6,00;0,00;5,00;;0,00;0,00;0,00;0,00;1,50;10,10;;
;4;0,00;;1,00;0,00;0,00;0,00;0,00;;0,00;0,00;1,00;0,00;0,00;0,00;;
;5;0,00;;3,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;1,50;0,00;0,00;;
;6;0,00;;0,00;0,00;2,00;3,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;9,00;0,00;0,00;;0,00;0,00;2,00;0,00;0,00;1,10;;
;8;0,00;;0,00;0,00;0,00;7,00;0,00;;0,00;0,00;2,00;0,00;6,30;0,00;;
;9;0,00;;0,00;0,00;1,00;10,00;0,00;;0,00;0,00;2,00;0,00;0,00;0,00;;
;10;0,00;;0,00;0,00;0,00;1,00;0,00;;0,00;1,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;0,00;1,00;;0,00;21,00;0,00;0,00;7,10;0,00;;
;12;0,00;;1,00;0,00;0,00;0,00;0,00;;0,00;0,00;1,00;0,00;0,00;0,00;;
;13;0,00;;0,00;2,00;1,00;4,00;3,00;;1,00;0,00;0,00;0,00;0,00;0,00;;
;14;1,00;;0,00;0,00;1,00;17,00;0,00;;0,00;0,00;0,00;0,00;1,10;6,10;;
;15;2,00;;0,00;0,00;2,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;3,00;0,00;17,00;;0,00;0,00;1,00;0,00;4,10;0,00;;
;17;0,00;;0,00;0,00;0,00;0,00;2,00;;0,00;0,00;0,00;0,00;2,30;0,00;;
;18;0,00;;1,00;1,00;2,00;0,00;0,00;;0,00;0,00;2,00;0,00;0,00;4,50;;
;19;0,00;;1,00;0,00;2,00;0,00;0,00;;0,00;0,00;0,00;1,20;4,50;1,10;;
;20;0,00;;0,00;0,00;0,00;0,00;1,00;;0,00;0,00;0,00;0,00;4,50;0,00;;
;21;0,00;;0,00;0,00;8,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;1,00;0,00;0,00;2,30;5,10;;
;23;1,00;;0,00;6,00;0,00;0,00;0,00;;0,00;7,00;0,00;14,20;3,50;7,10;;
;24;1,00;;0,00;10,00;0,00;0,00;0,00;;1,00;0,00;0,00;13,10;1,20;0,00;;
;25;0,00;;0,00;4,00;0,00;0,00;0,00;;1,00;0,00;0,00;0,00;0,00;0,00;;
;26;2,00;;0,00;0,00;0,00;0,00;0,00;;13,00;0,00;0,00;0,00;4,10;0,00;;
;27;0,00;;1,00;0,00;1,00;0,00;1,00;;2,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;7,00;1,00;;0,00;1,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;1,00;0,00;1,00;0,00;;0,00;0,00;8,10;0,00;0,00;0,00;;
;30;0,00;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;6,00;;0,00;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
