;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;2,30;0,50;0,00;;
;2;0,00;;0,00;0,00;0,00;24,40;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;3;0,00;;0,00;0,00;0,50;43,50;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;1,00;6,40;;0,00;0,00;0,00;0,00;0,00;0,00;;
;5;0,00;;0,00;0,00;0,00;0,00;1,20;;0,00;1,10;5,50;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,00;0,00;3,50;;0,00;0,00;5,50;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;4,50;0,00;0,00;0,00;;
;8;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;1,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;0,00;5,50;0,00;;0,00;0,00;3,50;0,00;0,00;0,00;;
;10;0,00;;0,30;0,00;0,00;0,00;0,00;;0,20;0,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;0,00;8,40;;0,00;6,40;0,00;0,00;0,00;0,00;;
;12;0,00;;0,00;0,00;0,00;0,00;11,90;;0,80;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;0,00;22,60;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;0,00;9,00;;0,00;0,00;0,00;13,50;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;1,00;0,00;;0,00;0,00;5,00;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;0,00;11,00;0,00;;0,00;3,00;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;0,00;0,00;3,80;;7,80;0,00;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;0,00;;16,50;0,00;0,00;0,00;0,00;0,00;;
;21;0,00;;0,00;0,00;0,00;0,00;0,00;;3,50;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;24;0,00;;0,00;0,00;1,20;0,00;7,90;;0,00;0,00;0,00;0,00;0,00;0,50;;
;25;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;1,00;0,00;;0,00;1,00;0,00;0,00;0,00;0,00;;
;27;0,00;;0,00;0,00;0,00;1,50;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;3,40;7,80;;4,00;1,00;0,00;1,30;0,00;0,00;;
;29;0,00;;;0,00;0,00;11,90;9,50;;0,00;0,00;0,80;0,00;0,00;0,00;;
;30;0,00;;;1,90;0,00;3,40;0,00;;0,00;0,00;13,80;0,00;0,00;0,00;;
;31;0,00;;;0,00;;9,50;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
