;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;15,00;0,00;3,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;2;0,00;;2,00;0,00;15,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;3;0,00;;4,00;0,00;4,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;4;0,00;;8,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;5;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;6;0,00;;5,00;0,00;2,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;7;0,00;;10,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;8;0,00;;72,00;2,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;4,00;;10,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;10;6,00;;6,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;11;12,00;;8,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;12;4,00;;8,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;6,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;2,00;0,00;0,00;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;18;0,00;;4,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;19;20,00;;0,00;0,00;0,00;0,00;6,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;20;5,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;21;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;24;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;25;14,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;26;18,00;;0,00;7,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;27;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;28;6,00;;0,00;4,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;29;8,00;;;9,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;30;13,00;;;2,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;31;8,00;;;2,00;;0,00;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
