anio,mes,sistema,emisionCO2
2010,1,SING,0.7525
2010,1,SIC,0.2813
2010,2,SING,0.7805
2010,2,SIC,0.3398
2010,3,SING,0.7535
2010,3,SIC,0.3636
2010,4,SING,0.7545
2010,4,SIC,0.317
2010,5,SING,0.7291
2010,5,SIC,0.3571
2010,6,SING,0.7614
2010,6,SIC,0.3852
2010,7,SING,0.7923
2010,7,SIC,0.3749
2010,8,SING,0.7899
2010,8,SIC,0.4307
2010,9,SING,0.7459
2010,9,SIC,0.3791
2010,10,SING,0.7214
2010,10,SIC,0.3392
2010,11,SING,0.6858
2010,11,SIC,0.3304
2010,12,SING,0.7553
2010,12,SIC,0.3676
2011,1,SING,0.7447
2011,1,SIC,0.362
2011,2,SING,0.7132
2011,2,SIC,0.4089
2011,3,SING,0.7112
2011,3,SIC,0.4596
2011,4,SING,0.7239
2011,4,SIC,0.4668
2011,5,SING,0.748
2011,5,SIC,0.4779
2011,6,SING,0.7672
2011,6,SIC,0.4639
2011,7,SING,0.7839
2011,7,SIC,0.4007
2011,8,SING,0.7625
2011,8,SIC,0.3528
2011,9,SING,0.7661
2011,9,SIC,0.331
2011,10,SING,0.7273
2011,10,SIC,0.3042
2011,11,SING,0.69
2011,11,SIC,0.2592
2011,12,SING,0.727
2011,12,SIC,0.3228
2012,1,SING,0.8025
2012,1,SIC,0.3528
2012,2,SING,0.8277
2012,2,SIC,0.3812
2012,3,SING,0.833
2012,3,SIC,0.3997
2012,4,SING,0.7784
2012,4,SIC,0.451
2012,5,SING,0.7976
2012,5,SIC,0.4774
2012,6,SING,0.7884
2012,6,SIC,0.3398
2012,7,SING,0.8031
2012,7,SIC,0.2938
2012,8,SING,0.8161
2012,8,SIC,0.3818
2012,9,SING,0.802
2012,9,SIC,0.4129
2012,10,SING,0.8145
2012,10,SIC,0.3996
2012,11,SING,0.8283
2012,11,SIC,0.4174
2012,12,SING,0.7773
2012,12,SIC,0.4269
2013,1,SING,0.8119
2013,1,SIC,0.4067
2013,2,SING,0.8225
2013,2,SIC,0.4333
2013,3,SING,0.8016
2013,3,SIC,0.4838
2013,4,SING,0.8045
2013,4,SIC,0.478
2013,5,SING,0.8033
2013,5,SIC,0.5005
2013,6,SING,0.8388
2013,6,SIC,0.5086
2013,7,SING,0.8094
2013,7,SIC,0.443
2013,8,SING,0.8071
2013,8,SIC,0.4658
2013,9,SING,0.831
2013,9,SIC,0.3724
2013,10,SING,0.8185
2013,10,SIC,0.3847
2013,11,SING,0.7863
2013,11,SIC,0.365
2013,12,SING,0.8012
2013,12,SIC,0.3789
2014,1,SING,0.812
2014,1,SIC,0.3745
2014,2,SING,0.7943
2014,2,SIC,0.4154
2014,3,SING,0.8079
2014,3,SIC,0.4357
2014,4,SING,0.7671
2014,4,SIC,0.4247
2014,5,SING,0.7903
2014,5,SIC,0.4133
2014,6,SING,0.7977
2014,6,SIC,0.409
2014,7,SING,0.7833
2014,7,SIC,0.4307
2014,8,SING,0.7699
2014,8,SIC,0.311
2014,9,SING,0.8078
2014,9,SIC,0.3004
2014,10,SING,0.8079
2014,10,SIC,0.267
2014,11,SING,0.7798
2014,11,SIC,0.2713
2014,12,SING,0.7675
2014,12,SIC,0.3108
