;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,10;;0,00;4,10;0,00;69,60;17,80;;17,00;3,20;0,50;0,00;22,90;0,00;;
;2;0,70;;0,00;2,00;0,00;0,00;0,10;;6,50;0,90;0,00;0,00;0,00;2,40;;
;3;0,20;;0,00;3,40;0,00;28,40;11,10;;4,60;0,10;0,00;0,00;9,10;0,00;;
;4;0,00;;0,00;0,60;1,20;3,30;16,90;;0,10;0,00;0,00;0,00;1,00;0,00;;
;5;0,90;;1,80;4,90;0,00;0,80;30,30;;0,10;6,30;0,20;11,70;0,00;0,00;;
;6;0,40;;0,00;30,40;0,00;0,00;6,90;;0,00;2,40;1,00;9,60;1,80;0,00;;
;7;9,90;;0,00;3,00;0,00;0,00;16,50;;0,10;3,10;3,30;0,90;0,00;0,00;;
;8;8,60;;0,10;0,40;0,10;0,00;16,40;;1,20;0,00;9,00;0,00;0,00;0,00;;
;9;3,90;;5,50;0,10;3,20;2,00;8,80;;12,30;4,90;0,00;0,20;0,00;0,00;;
;10;0,00;;7,20;0,00;0,00;6,10;0,00;;1,00;23,60;0,00;0,00;0,00;6,20;;
;11;10,00;;0,00;0,00;0,20;8,00;0,10;;0,50;4,00;1,50;7,90;0,00;0,60;;
;12;2,40;;0,00;0,00;8,60;5,60;9,70;;21,20;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;11,80;0,00;0,30;;6,80;0,10;0,90;0,00;0,00;8,30;;
;14;0,00;;0,00;0,00;0,60;0,00;0,00;;8,70;0,00;8,10;0,00;7,90;3,00;;
;15;6,60;;0,00;0,00;0,00;0,00;0,00;;0,00;4,30;7,00;0,00;6,80;5,00;;
;16;0,00;;0,00;0,00;30,40;5,10;0,00;;32,00;0,20;0,10;0,00;8,00;0,00;;
;17;0,00;;0,60;5,60;0,00;14,30;0,00;;7,00;0,10;1,30;0,00;6,20;7,40;;
;18;0,00;;5,80;3,70;0,00;6,70;1,70;;14,70;0,00;12,90;0,00;0,00;6,80;;
;19;0,00;;0,10;0,40;0,00;2,90;0,10;;11,00;0,00;4,50;0,50;2,80;5,10;;
;20;4,30;;0,00;0,10;0,00;0,00;1,90;;25,60;4,30;5,30;14,60;0,00;0,00;;
;21;1,70;;5,70;0,00;0,60;0,00;2,80;;5,40;0,50;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,20;0,00;8,60;;0,70;0,30;0,00;0,00;0,00;4,70;;
;23;0,00;;1,70;0,00;0,00;0,00;20,70;;0,10;0,20;0,00;0,00;2,70;21,50;;
;24;0,00;;0,00;0,00;0,00;5,30;6,40;;0,00;9,00;0,00;2,90;4,90;5,80;;
;25;1,80;;0,00;0,10;0,00;0,00;22,80;;1,10;9,40;0,20;1,60;6,60;0,00;;
;26;0,00;;0,40;0,00;10,10;0,20;4,00;;0,20;1,70;0,10;6,00;6,10;0,00;;
;27;0,00;;0,00;0,00;11,00;4,70;16,00;;0,00;29,50;0,00;5,10;3,60;15,90;;
;28;0,00;;4,00;0,00;9,70;0,00;0,00;;22,70;5,30;4,70;18,40;22,70;0,00;;
;29;0,50;;;0,00;2,20;1,40;1,80;;15,90;3,30;7,80;5,40;3,30;0,00;;
;30;0,00;;;0,00;41,20;9,40;0,30;;25,80;1,20;2,80;0,00;0,20;0,00;;
;31;0,00;;;0,00;;7,50;;;11,80;0,10;;33,50;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
