;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;9,60;10,30;;0,00;3,70;2,20;2,30;2,30;0,00;;
;2;0,00;;0,00;0,00;2,30;0,00;11,50;;4,90;3,80;0,00;0,00;10,00;0,00;;
;3;0,00;;0,00;5,20;5,20;0,00;0,00;;4,30;5,20;3,20;10,20;7,80;17,20;;
;4;0,00;;0,00;1,20;0,00;0,00;1,30;;0,00;12,30;13,20;0,00;0,00;7,40;;
;5;0,00;;0,00;8,10;0,00;0,00;60,80;;0,00;9,30;0,00;0,00;0,00;1,20;;
;6;0,00;;0,00;0,00;0,00;0,00;29,80;;0,00;2,10;0,00;0,00;21,30;0,00;;
;7;0,00;;0,00;0,00;20,20;0,00;11,50;;0,00;3,20;3,40;0,00;0,00;0,00;;
;8;0,00;;0,00;0,00;10,50;4,20;0,00;;0,00;0,00;0,00;0,00;0,00;4,20;;
;9;0,00;;0,00;0,00;1,60;0,00;0,00;;0,00;0,00;1,20;0,00;2,40;35,80;;
;10;0,00;;0,00;0,00;3,60;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;30,20;;
;11;0,00;;4,20;0,00;2,30;4,20;0,00;;39,30;8,40;0,00;0,00;0,00;11,10;;
;12;0,00;;0,00;0,00;3,20;3,40;0,00;;4,20;30,10;0,00;0,00;0,00;2,00;;
;13;0,00;;0,00;4,20;0,00;5,30;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;28,00;0,00;1,30;0,00;;0,00;7,20;0,00;0,00;0,00;3,10;;
;15;0,00;;2,10;4,20;5,20;0,00;17,60;;18,10;11,30;0,00;0,00;0,00;9,10;;
;16;4,30;;0,00;0,00;1,20;11,40;0,00;;0,00;15,30;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;5,30;0,00;27,30;;5,10;19,20;0,00;0,00;0,00;0,00;;
;18;6,20;;0,00;0,00;0,00;0,00;3,20;;0,00;8,20;0,00;0,00;0,00;0,00;;
;19;3,20;;0,00;0,00;4,50;4,20;0,00;;0,00;8,30;0,00;0,00;0,00;0,00;;
;20;10,20;;0,00;4,20;5,20;0,00;2,40;;2,20;0,00;3,40;0,00;0,00;0,00;;
;21;0,00;;15,20;0,00;0,00;0,00;3,60;;12,20;19,10;7,30;0,00;0,00;5,20;;
;22;0,00;;6,30;0,00;0,00;0,00;0,00;;14,20;23,30;1,30;7,30;8,30;8,30;;
;23;2,10;;0,00;8,20;0,00;0,00;0,00;;6,30;17,20;0,00;37,40;0,00;4,20;;
;24;0,00;;0,00;3,20;0,00;0,00;3,20;;5,30;13,20;0,00;37,20;0,00;15,10;;
;25;0,00;;3,20;0,00;5,20;0,00;22,30;;40,00;14,20;0,00;8,70;0,00;26,30;;
;26;0,00;;0,00;0,00;4,10;38,60;39,30;;31,50;0,00;0,00;7,20;0,00;0,00;;
;27;20,20;;0,00;6,40;0,00;17,50;64,80;;49,30;6,30;0,00;4,50;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;3,20;49,40;;39,30;7,20;0,00;5,60;0,00;0,00;;
;29;0,00;;;0,00;3,20;28,00;39,30;;25,50;0,00;0,00;6,80;0,00;0,00;;
;30;0,00;;;0,00;2,30;2,30;2,30;;49,30;0,00;23,40;0,00;0,00;0,00;;
;31;0,00;;;0,00;;2,00;;;2,30;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
