;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,50;13,20;0,00;43,40;;0,20;0,50;0,00;0,00;0,20;2,10;;
;2;0,60;;0,00;3,50;11,80;0,00;2,90;;0,00;14,70;0,00;0,10;2,00;0,00;;
;3;0,50;;0,00;0,20;2,00;0,00;2,20;;0,00;0,70;0,00;0,00;6,70;0,10;;
;4;0,20;;0,00;4,00;6,60;0,30;0,00;;6,70;0,20;0,00;0,00;20,40;0,50;;
;5;0,90;;0,50;1,30;18,70;0,00;0,10;;0,10;0,50;0,00;3,20;5,60;0,00;;
;6;1,50;;0,00;0,00;2,00;0,40;0,00;;0,00;0,10;0,00;0,60;0,60;0,00;;
;7;1,40;;0,60;0,10;0,00;0,00;0,00;;0,40;1,80;1,20;0,40;0,30;1,90;;
;8;0,00;;4,90;0,00;52,00;0,10;2,90;;2,40;1,00;0,40;0,10;0,00;3,60;;
;9;0,10;;0,30;0,00;0,10;0,00;0,00;;1,40;0,00;0,00;3,50;0,00;0,00;;
;10;2,60;;0,00;0,00;0,40;7,00;0,30;;6,00;0,00;0,20;0,00;0,10;0,00;;
;11;3,70;;0,00;0,20;2,70;19,40;0,00;;24,90;0,00;0,00;1,30;0,00;0,00;;
;12;0,00;;0,00;0,00;9,20;4,10;0,50;;9,40;0,00;0,00;0,00;0,20;7,80;;
;13;0,10;;1,60;0,00;0,00;4,80;0,50;;7,70;0,00;0,50;0,00;0,70;1,80;;
;14;2,00;;1,00;0,10;0,10;0,00;3,60;;0,90;0,00;0,40;0,00;4,10;2,30;;
;15;0,10;;0,30;8,80;6,50;0,50;0,00;;3,30;0,00;1,20;0,00;0,00;0,00;;
;16;0,00;;0,00;12,10;7,90;1,40;0,00;;0,00;0,00;0,20;0,30;3,20;4,00;;
;17;0,00;;0,00;0,70;0,00;1,10;0,00;;0,00;0,00;0,00;0,10;1,50;9,40;;
;18;0,20;;3,10;0,00;0,30;0,30;0,20;;0,10;0,00;0,40;4,30;2,60;11,20;;
;19;0,00;;2,40;0,00;0,00;0,60;1,10;;0,00;0,00;3,80;0,10;0,90;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;3,30;;0,00;0,00;0,70;0,00;0,00;0,50;;
;21;0,50;;0,00;0,00;0,00;0,10;0,00;;0,50;8,90;0,00;0,00;0,00;0,20;;
;22;0,60;;1,60;0,10;0,00;12,30;0,00;;2,60;2,10;0,20;0,00;0,00;0,80;;
;23;0,30;;0,10;0,00;0,00;15,20;0,70;;0,00;5,20;0,30;0,00;0,00;1,10;;
;24;0,40;;0,00;2,70;0,00;0,10;0,00;;1,20;0,10;1,10;0,00;0,00;0,20;;
;25;0,00;;0,10;0,00;0,00;0,00;0,00;;0,50;4,60;0,70;0,00;25,50;0,10;;
;26;0,00;;0,00;0,00;0,00;0,10;0,00;;15,30;0,10;0,00;0,30;0,00;1,80;;
;27;0,50;;1,90;0,00;6,00;0,00;0,00;;0,00;0,00;0,60;3,20;1,10;0,50;;
;28;0,20;;0,00;0,30;1,60;0,00;0,10;;1,00;2,40;3,20;0,00;0,00;0,20;;
;29;1,40;;;0,30;0,00;0,00;0,00;;3,40;0,00;0,80;0,00;0,10;0,00;;
;30;3,10;;;0,60;0,30;0,00;0,20;;29,70;0,50;0,00;0,10;0,00;0,00;;
;31;1,90;;;0,80;;10,80;;;1,80;0,00;;0,70;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
