;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,30;0,00;;0,00;0,00;0,00;0,00;1,70;0,00;;
;2;0,00;;0,00;0,00;0,00;15,90;0,00;;0,00;5,80;0,00;0,00;0,00;0,00;;
;3;0,00;;0,00;0,00;0,00;2,20;0,00;;0,00;2,90;13,90;0,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;21,10;;
;5;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,00;0,00;8,90;;0,00;9,30;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;0,00;0,00;29,70;;0,00;0,00;0,00;0,00;0,00;0,00;;
;8;0,00;;0,00;0,00;0,00;0,00;1,70;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;10;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;12;0,00;;0,00;0,00;0,00;7,70;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;22,40;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;5,50;0,00;0,00;0,00;9,20;;
;16;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;2,70;0,00;0,00;0,00;2,00;;
;17;0,00;;0,00;0,00;0,00;0,00;0,00;;1,70;0,80;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;1,80;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,00;0,30;;11,30;0,00;0,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;1,10;;0,00;0,00;0,00;0,00;0,00;0,00;;
;21;0,00;;0,00;0,00;0,00;0,00;0,30;;0,00;0,00;2,30;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,40;0,30;;13,80;26,80;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,30;;3,60;7,00;0,00;0,00;0,00;0,00;;
;24;0,00;;0,00;0,00;0,00;0,00;2,40;;0,00;0,00;0,00;6,40;0,00;0,00;;
;25;0,00;;0,00;0,00;0,00;0,00;6,90;;52,00;4,60;0,00;4,20;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;0,00;32,50;;25,20;0,00;0,00;0,00;0,00;0,00;;
;27;3,00;;0,00;0,00;0,00;0,00;13,80;;0,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;0,00;0,00;;19,40;0,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;0,00;0,00;0,00;18,60;;3,50;4,80;0,00;0,00;0,00;0,00;;
;30;0,00;;;6,90;0,00;0,60;4,80;;0,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;1,00;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
