;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;2;0,00;;0,00;0,00;0,00;5,00;0,00;;0,00;19,50;0,00;0,00;0,00;0,00;;
;3;0,00;;0,00;0,00;0,00;25,50;0,00;;0,00;5,00;6,00;0,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;18,50;0,00;0,00;0,00;;
;5;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;3,00;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;20,00;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;4,00;0,00;0,00;0,00;0,00;;
;8;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;10;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;12;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;6,50;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;8,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;17;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;43,00;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;3,50;15,00;0,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;13,50;0,00;0,00;0,00;0,00;;
;21;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;13,00;23,00;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;5,50;50,00;0,00;0,00;0,00;0,00;;
;24;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;25;0,00;;0,00;0,00;0,00;0,00;0,00;;45,00;2,00;0,00;0,00;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;0,00;2,00;;23,00;3,50;0,00;0,00;0,00;0,00;;
;27;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;7,00;0,00;0,00;;17,00;0,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;0,00;35,50;0,00;24,00;;0,00;19,50;0,00;0,00;0,00;0,00;;
;30;0,00;;;0,00;0,00;0,50;0,00;;0,00;10,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;0,00;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
