;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,00;0,00;;7,50;0,00;;;;;;
;2;0,00;;0,00;0,00;1,00;0,00;0,10;;0,00;0,00;;;;;;
;3;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;4;0,00;;0,00;0,00;0,00;0,00;0,00;;52,00;0,00;;;;;;
;5;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;6;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;7;0,00;;0,00;0,00;0,00;0,00;0,00;;3,00;0,00;;;;;;
;8;0,00;;0,00;0,00;0,00;0,00;0,00;;1,00;0,00;;;;;;
;9;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;10;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;11;0,00;;0,00;0,00;14,50;0,00;14,50;;0,00;0,00;;;;;;
;12;0,00;;0,00;0,00;1,50;0,00;13,00;;0,00;0,00;;;;;;
;13;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;14;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;16;0,00;;0,00;0,00;0,00;0,00;0,10;;0,00;0,00;;;;;;
;17;0,00;;0,00;0,00;0,00;0,00;10,00;;0,00;0,00;;;;;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;20;0,00;;0,00;0,00;0,00;5,60;0,00;;0,00;0,00;;;;;;
;21;0,00;;0,00;0,00;0,00;0,00;0,00;;19,50;0,00;;;;;;
;22;0,00;;0,00;0,00;0,00;0,00;28,00;;0,00;0,30;;;;;;
;23;0,00;;0,00;0,00;0,00;0,00;18,50;;0,00;0,10;;;;;;
;24;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;25;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;20,50;;;;;;
;26;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,10;;;;;;
;27;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;;;;;
;28;0,00;;0,00;0,00;0,00;0,00;5,00;;0,00;0,00;;;;;;
;29;0,00;;;0,00;0,00;4,00;31,00;;0,00;0,00;;;;;;
;30;0,00;;;0,00;;0,00;;;0,00;0,00;;;;;;
;31;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
