;DIA;ENE;;FEB;MAR;ABR;MAY;JUN;;JUL;AGO;SEP;OCT;NOV;DIC;;
;1;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;2,10;0,00;;
;2;0,00;;0,00;0,00;0,00;19,10;0,00;;0,00;20,20;0,00;0,00;2,00;0,00;;
;3;0,00;;0,00;0,00;0,00;41,20;0,00;;0,00;8,20;29,10;0,00;0,00;0,00;;
;4;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;3,10;0,00;0,00;0,00;;
;5;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;6;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;20,10;0,00;0,00;0,00;0,00;;
;7;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;8;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;9;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;10;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;11;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;12;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;13;0,00;;0,00;0,00;0,00;6,10;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;14;0,00;;0,00;0,00;0,00;5,10;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;15;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;4,10;0,00;0,00;0,00;0,00;;
;16;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;13,10;;
;17;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;16,20;0,00;0,00;0,00;0,00;;
;18;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;70,10;0,00;0,00;0,00;0,00;;
;19;0,00;;0,00;0,00;0,00;0,00;0,00;;12,20;3,10;0,00;0,00;0,00;0,00;;
;20;0,00;;0,00;0,00;0,00;0,00;1,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;21;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;22;0,00;;0,00;0,00;0,00;0,00;0,00;;17,20;70,10;0,00;0,00;0,00;0,00;;
;23;0,00;;0,00;0,00;0,00;0,00;0,00;;3,10;114,60;0,00;0,00;0,00;0,00;;
;24;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;17,10;0,00;0,00;;
;25;0,00;;0,00;0,00;0,00;0,00;16,10;;76,20;24,50;0,00;3,10;0,00;0,00;;
;26;0,00;;0,00;0,00;0,00;0,00;8,10;;26,20;0,00;0,00;0,00;0,00;0,00;;
;27;0,00;;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;28;0,00;;0,00;0,00;0,00;0,00;0,00;;35,50;0,00;0,00;0,00;0,00;0,00;;
;29;0,00;;;0,00;20,20;0,00;38,20;;5,30;16,20;0,00;0,00;0,00;0,00;;
;30;0,00;;;2,10;0,00;1,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;
;31;0,00;;;0,00;;2,10;;;0,00;0,00;;0,00;;0,00;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
